-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------  
                                       execute_model_t1         0.00%       0.000us         0.00%       0.000us       0.000us      17.123ms        72.65%      17.123ms      17.123ms           0 B           0 B           0 B           0 B             1                                          []  
                                       execute_model_t2         0.00%       0.000us         0.00%       0.000us       0.000us      16.617ms        70.51%      16.617ms      16.617ms           0 B           0 B           0 B           0 B             1                                          []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      10.691ms        45.36%      10.691ms      62.891us           0 B           0 B           0 B           0 B           170                                          []  
                                runner_model_forward_t2         0.00%       0.000us         0.00%       0.000us       0.000us       8.727ms        37.03%       8.727ms       8.727ms           0 B           0 B           0 B           0 B             1                                          []  
                                runner_model_forward_t1         0.00%       0.000us         0.00%       0.000us       0.000us       8.658ms        36.74%       8.658ms       8.658ms           0 B           0 B           0 B           0 B             1                                          []  
                                prefill_graph_replay_t0         0.00%       0.000us         0.00%       0.000us       0.000us       7.034ms        29.84%       7.034ms       7.034ms           0 B           0 B           0 B           0 B             1                                          []  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.366ms        18.52%       4.366ms      38.981us           0 B           0 B           0 B           0 B           112                                          []  
                                      prepare_inputs_t0         0.00%       0.000us         0.00%       0.000us       0.000us       3.558ms        15.09%       3.558ms       3.558ms           0 B           0 B           0 B           0 B             1                                          []  
                                      prepare_inputs_t2         0.00%       0.000us         0.00%       0.000us       0.000us       3.359ms        14.25%       3.359ms       3.359ms           0 B           0 B           0 B           0 B             1                                          []  
                                      prepare_inputs_t1         0.00%       0.000us         0.00%       0.000us       0.000us       3.261ms        13.84%       3.261ms       3.261ms           0 B           0 B           0 B           0 B             1                                          []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.011ms         8.53%       2.011ms      35.912us           0 B           0 B           0 B           0 B            56                                          []  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       1.545ms         6.55%       1.545ms      27.586us           0 B           0 B           0 B           0 B            56                                          []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.030ms         4.37%       1.030ms      36.786us           0 B           0 B           0 B           0 B            28                                          []  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     947.072us         4.02%     947.072us      16.912us           0 B           0 B           0 B           0 B            56                                          []  
                     runner_build_attention_metadata_t1         0.00%       0.000us         0.00%       0.000us       0.000us     911.299us         3.87%     911.299us     911.299us           0 B           0 B           0 B           0 B             1                                          []  
                                               aten::mm         0.17%     175.115us         0.22%     218.115us     109.057us     365.026us         1.55%     365.026us     182.513us           0 B           0 B      12.06 MB      12.06 MB             2                [[128, 2048], [2048, 24704]]  
                                  copy_suffix_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     304.917us         1.29%     304.917us       2.722us           0 B           0 B           0 B           0 B           112                                          []  
                                beam_worker_decision_t2         0.00%       0.000us         0.00%       0.000us       0.000us     282.273us         1.20%     282.273us     282.273us           0 B           0 B           0 B           0 B             1                                          []  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     241.156us         1.02%     241.156us       2.153us           0 B           0 B           0 B           0 B           112                                          []  
                     runner_build_attention_metadata_t2         0.00%       0.000us         0.00%       0.000us       0.000us     207.744us         0.88%     207.744us     207.744us           0 B           0 B           0 B           0 B             1                                          []  
                                     _fused_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     207.680us         0.88%     207.680us      69.227us           0 B           0 B           0 B           0 B             3                                          []  
                                prefill_constraint_topk         0.00%       0.000us         0.00%       0.000us       0.000us     190.720us         0.81%     190.720us     190.720us           0 B           0 B           0 B           0 B             1                                          []  
                               cache_unshared_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     183.525us         0.78%     183.525us       1.639us           0 B           0 B           0 B           0 B           112                                          []  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     182.877us         0.78%     182.877us       2.177us           0 B           0 B           0 B           0 B            84                                          []  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     163.937us         0.70%     163.937us       1.952us           0 B           0 B           0 B           0 B            84                                          []  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     161.218us         0.68%     161.218us       1.919us           0 B           0 B           0 B           0 B            84                                          []  
                                _beam_group_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     151.904us         0.64%     151.904us      75.952us           0 B           0 B           0 B           0 B             2                                          []  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     151.068us         0.64%     151.068us       1.325us           0 B           0 B           0 B           0 B           114                                          []  
                                       execute_model_t0         0.00%       0.000us         0.00%       0.000us       0.000us     146.529us         0.62%     146.529us     146.529us           0 B           0 B           0 B           0 B             1                                          []  
                                               aten::mm         0.08%      83.516us         0.10%     103.161us     103.161us     139.425us         0.59%     139.425us     139.425us           0 B           0 B      48.50 KB      48.50 KB             1                  [[1, 2048], [2048, 24704]]  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     139.425us         0.59%     139.425us     139.425us           0 B           0 B           0 B           0 B             1                                          []  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     138.502us         0.59%     138.502us       2.473us           0 B           0 B           0 B           0 B            56                                          []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     138.432us         0.59%     138.432us       1.236us           0 B           0 B           0 B           0 B           112                                          []  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     132.833us         0.56%     132.833us       1.640us           0 B           0 B           0 B           0 B            81                                          []  
                                beam_worker_decision_t1         0.00%       0.000us         0.00%       0.000us       0.000us     130.592us         0.55%     130.592us     130.592us           0 B           0 B           0 B           0 B             1                                          []  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     128.870us         0.55%     128.870us       1.151us           0 B           0 B           0 B           0 B           112                                          []  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     107.525us         0.46%     107.525us       1.327us           0 B           0 B           0 B           0 B            81                                          []  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      98.623us         0.42%      98.623us       1.174us           0 B           0 B           0 B           0 B            84                                          []  
void vllm::merge_attn_states_kernel<__nv_bfloat16, _...         0.00%       0.000us         0.00%       0.000us       0.000us      94.748us         0.40%      94.748us       1.692us           0 B           0 B           0 B           0 B            56                                          []  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      57.377us         0.24%      57.377us       2.049us           0 B           0 B           0 B           0 B            28                                          []  
                               _select_kv_gather_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.744us         0.12%      27.744us      27.744us           0 B           0 B           0 B           0 B             1                                          []  
                               constraint_try_sample_t1         0.00%       0.000us         0.00%       0.000us       0.000us      24.032us         0.10%      24.032us      24.032us           0 B           0 B           0 B           0 B             1                                          []  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      21.984us         0.09%      21.984us       0.999us           0 B           0 B           0 B           0 B            22                                          []  
                               constraint_try_sample_t2         0.00%       0.000us         0.00%       0.000us       0.000us      21.888us         0.09%      21.888us      21.888us           0 B           0 B           0 B           0 B             1                                          []  
                              _select_kv_scatter_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.696us         0.08%      17.696us      17.696us           0 B           0 B           0 B           0 B             1                                          []  
                                        constraint_topk         0.00%       0.000us         0.00%       0.000us       0.000us      16.960us         0.07%      16.960us       8.480us           0 B           0 B           0 B           0 B             2                                          []  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.454us         0.07%      15.454us       0.515us           0 B           0 B           0 B           0 B            30                                          []  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.849us         0.06%      14.849us       4.950us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::copy_         0.35%     353.132us         0.66%     661.703us      36.761us      14.847us         0.06%      14.847us       0.825us           0 B           0 B           0 B           0 B            18                          [[128], [128], []]  
                                            aten::copy_         0.32%     318.156us         0.59%     586.855us      32.603us      11.455us         0.05%      11.455us       0.636us           0 B           0 B           0 B           0 B            18                              [[1], [1], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.920us         0.04%       9.920us       1.653us           0 B           0 B           0 B           0 B             6                                          []  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.247us         0.04%       9.247us       2.312us           0 B           0 B           0 B           0 B             4                                          []  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       8.480us         0.04%       8.480us       2.827us           0 B           0 B           0 B           0 B             3                                          []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.418us         0.04%       8.418us       0.935us           0 B           0 B           0 B           0 B             9                                          []  
                                            aten::index         0.16%     159.243us         0.25%     253.718us      84.573us       7.359us         0.03%       7.359us       2.453us           0 B           0 B       1.50 KB       1.50 KB             3                                 [[128], []]  
                                            aten::fill_         0.17%     170.832us         0.33%     333.462us      37.051us       6.626us         0.03%       6.626us       0.736us           0 B           0 B           0 B           0 B             9                                 [[128], []]  
                                            aten::copy_         0.13%     131.524us         0.26%     256.310us      32.039us       6.465us         0.03%       6.465us       0.808us           0 B           0 B           0 B           0 B             8                            [[16], [16], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.144us         0.03%       6.144us       1.536us           0 B           0 B           0 B           0 B             4                                          []  
                            _beam_group_finalize_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.120us         0.02%       5.120us       2.560us           0 B           0 B           0 B           0 B             2                                          []  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       5.024us         0.02%       5.024us       1.675us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::copy_         0.10%     104.089us         0.18%     183.699us      45.925us       4.960us         0.02%       4.960us       1.240us           0 B           0 B           0 B           0 B             4                    [[128, 1], [128, 1], []]  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       3.969us         0.02%       3.969us       1.323us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::copy_         0.10%      98.537us         0.15%     150.460us      25.077us       3.776us         0.02%       3.776us       0.629us           0 B           0 B           0 B           0 B             6                          [[385], [385], []]  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.776us         0.02%       3.776us       1.259us           0 B           0 B           0 B           0 B             3                                          []  
                                              aten::add         0.09%      88.084us         0.13%     131.940us      43.980us       3.616us         0.02%       3.616us       1.205us           0 B           0 B       1.50 KB       1.50 KB             3                              [[1], [1], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.616us         0.02%       3.616us       1.205us           0 B           0 B           0 B           0 B             3                                          []  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.614us         0.02%       3.614us       0.903us           0 B           0 B           0 B           0 B             4                                          []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.552us         0.02%       3.552us       1.184us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::copy_         0.10%      96.372us         0.19%     188.778us      47.194us       3.424us         0.01%       3.424us       0.856us           0 B           0 B           0 B           0 B             4                  [[1, 2560], [1, 2560], []]  
                                            aten::index         0.12%     117.900us         0.35%     349.552us     174.776us       3.424us         0.01%       7.104us       3.552us           0 B           0 B       1.00 MB    1022.00 KB             2                           [[128, 2048], []]  
                                            aten::index         0.06%      57.134us         0.16%     158.184us     158.184us       3.392us         0.01%       5.184us       5.184us           0 B           0 B       4.00 KB       3.50 KB             1                            [[16, 2048], []]  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.392us         0.01%       3.392us       3.392us           0 B           0 B           0 B           0 B             1                                          []  
                                            aten::copy_         0.05%      53.350us         0.10%      95.521us      47.761us       3.200us         0.01%       3.200us       1.600us           0 B           0 B           0 B           0 B             2                    [[128, 3], [128, 3], []]  
                                              aten::sub         0.11%     112.165us         0.17%     172.770us      57.590us       2.975us         0.01%       2.975us       0.992us           0 B           0 B       1.50 KB       1.50 KB             3                               [[1], [], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.975us         0.01%       2.975us       0.992us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::fill_         0.06%      62.836us         0.10%     100.354us      16.726us       2.656us         0.01%       2.656us       0.443us           0 B           0 B           0 B           0 B             6                                 [[127], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.656us         0.01%       2.656us       0.885us           0 B           0 B           0 B           0 B             3                                          []  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.463us         0.01%       2.463us       0.410us           0 B           0 B           0 B           0 B             6                                          []  
                                              aten::add         0.06%      63.065us         0.10%      97.925us      48.963us       2.368us         0.01%       2.368us       1.184us           0 B           0 B       2.00 KB       2.00 KB             2                          [[128], [128], []]  
                                            aten::copy_         0.08%      84.470us         0.15%     150.629us      37.657us       2.301us         0.01%       2.301us       0.575us           0 B           0 B           0 B           0 B             4                          [[129], [129], []]  
                                           aten::gather         0.04%      35.554us         0.05%      54.669us      54.669us       2.208us         0.01%       2.208us       2.208us           0 B           0 B           0 B           0 B             1        [[3, 1], [], [3, 128], [], [3, 128]]  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.208us         0.01%       2.208us       2.208us           0 B           0 B           0 B           0 B             1                                          []  
                                      decode_result_d2h         0.00%       0.000us         0.00%       0.000us       0.000us       2.176us         0.01%       2.176us       1.088us           0 B           0 B           0 B           0 B             2                                          []  
                          _grouped_final_outputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.112us         0.01%       2.112us       2.112us           0 B           0 B           0 B           0 B             1                                          []  
                                            aten::copy_         0.04%      37.903us         0.08%      82.820us      41.410us       2.048us         0.01%       2.048us       1.024us           0 B           0 B           0 B           0 B             2              [[1, 128, 3], [1, 128, 3], []]  
                                            aten::copy_         0.06%      57.557us         0.11%     113.970us      56.985us       2.016us         0.01%       2.016us       1.008us           0 B           0 B           0 B           0 B             2                    [[128, 2], [128, 2], []]  
                                            aten::copy_         0.03%      27.675us         0.06%      59.134us      29.567us       1.952us         0.01%       1.952us       0.976us           0 B           0 B           0 B           0 B             2                    [[1, 128], [1, 128], []]  
                                            aten::copy_         0.02%      20.969us         0.05%      48.792us      24.396us       1.920us         0.01%       1.920us       0.960us           0 B           0 B           0 B           0 B             2                              [[2], [2], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.920us         0.01%       1.920us       0.960us           0 B           0 B           0 B           0 B             2                                          []  
                                           aten::arange         0.04%      36.737us         0.08%      84.718us      42.359us       1.889us         0.01%       1.889us       0.944us           0 B           0 B           0 B           0 B             2                         [[], [], [], [128]]  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.889us         0.01%       1.889us       0.944us           0 B           0 B           0 B           0 B             2                                          []  
                                            aten::index         0.04%      40.648us         0.07%      65.224us      65.224us       1.888us         0.01%       1.888us       1.888us           0 B           0 B         512 B         512 B             1                               [[1, 64], []]  
                                            aten::fill_         0.04%      38.108us         0.07%      65.762us      21.921us       1.856us         0.01%       1.856us       0.619us           0 B           0 B           0 B           0 B             3                                   [[1], []]  
                                            aten::fill_         0.03%      25.787us         0.05%      46.132us      23.066us       1.824us         0.01%       1.824us       0.912us           0 B           0 B           0 B           0 B             2                              [[1, 128], []]  
                                           aten::arange         0.05%      46.490us         0.09%      89.071us      44.535us       1.824us         0.01%       1.824us       0.912us           0 B           0 B           0 B           0 B             2                                 [[], [128]]  
                                           aten::arange         0.03%      30.635us         0.06%      55.071us      27.536us       1.790us         0.01%       1.790us       0.895us           0 B           0 B           0 B           0 B             2                         [[], [], [], [129]]  
                                        cudaEventRecord         0.05%      51.531us         0.05%      51.531us       4.294us       1.728us         0.01%       1.728us       0.144us           0 B           0 B           0 B           0 B            12                                          []  
                                              aten::cat         0.04%      44.096us         0.06%      61.598us      61.598us       1.728us         0.01%       1.728us       1.728us           0 B           0 B         512 B         512 B             1                                    [[], []]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.728us         0.01%       1.728us       1.728us           0 B           0 B           0 B           0 B             1                                          []  
                                constraint_prelaunch_t0         0.00%       0.000us         0.00%       0.000us       0.000us       1.600us         0.01%       1.600us       1.600us           0 B           0 B           0 B           0 B             1                                          []  
                         _grouped_final_sequence_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.216us         0.01%       1.216us       1.216us           0 B           0 B           0 B           0 B             1                                          []  
                                              aten::add         0.03%      26.099us         0.04%      39.577us      39.577us       1.184us         0.01%       1.184us       1.184us           0 B           0 B         512 B         512 B             1                            [[16], [16], []]  
                               _beam_result_pack_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.120us         0.00%       1.120us       1.120us           0 B           0 B           0 B           0 B             1                                          []  
                                            aten::copy_         0.01%      12.801us         0.03%      30.603us      30.603us       0.993us         0.00%       0.993us       0.993us           0 B           0 B           0 B           0 B             1                      [[1, 64], [1, 64], []]  
                                            aten::fill_         0.02%      19.457us         0.04%      40.325us      40.325us       0.960us         0.00%       0.960us       0.960us           0 B           0 B           0 B           0 B             1                           [[1, 128, 3], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.928us         0.00%       0.928us       0.928us           0 B           0 B           0 B           0 B             1                                          []  
                            runner_prepare_input_ids_t2         0.00%       0.000us         0.00%       0.000us       0.000us       0.416us         0.00%       0.416us       0.416us           0 B           0 B           0 B           0 B             1                                          []  
                                  constraint_prepare_t0         0.00%       0.000us         0.00%       0.000us       0.000us       0.416us         0.00%       0.416us       0.416us           0 B           0 B           0 B           0 B             1                                          []  
                            runner_prepare_input_ids_t1         0.00%       0.000us         0.00%       0.000us       0.000us       0.416us         0.00%       0.416us       0.416us           0 B           0 B           0 B           0 B             1                                          []  
                                            aten::copy_         0.02%      23.242us         0.04%      43.133us      21.566us       0.384us         0.00%       0.384us       0.192us           0 B           0 B           0 B           0 B             2                          [[132], [132], []]  
                            runner_prepare_input_ids_t0         0.00%       0.000us         0.00%       0.000us       0.000us       0.352us         0.00%       0.352us       0.352us           0 B           0 B           0 B           0 B             1                                          []  
                    onerec_prefill_hit_profiled_request         7.50%       7.505ms        99.79%      99.894ms      99.894ms       0.000us         0.00%     615.487us     615.487us       1.50 KB           0 B           0 B           0 B             1                                          []  
                           frontend_prepare_requests_t0         0.54%     537.531us         0.54%     537.531us     537.531us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                          []  
                        frontend_engine_step_collect_t0         4.36%       4.362ms        24.37%      24.396ms      24.396ms       0.000us         0.00%     169.475us     169.475us       1.50 KB           0 B           0 B           0 B             1                                          []  
                                  scheduler_schedule_t0         2.42%       2.420ms         2.42%       2.420ms       1.210ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                          []  
                                       execute_model_t0         1.78%       1.780ms        11.48%      11.495ms       5.748ms       0.000us         0.00%     169.475us      84.738us           0 B           0 B      52.50 KB           0 B             2                                          []  
                                Activity Buffer Request         0.60%     605.282us         0.60%     605.282us     605.282us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                          []  
                                   cudaEventSynchronize         5.74%       5.744ms         5.74%       5.744ms     478.650us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12                                          []  
                                runner_update_states_t0         1.14%       1.139ms         1.22%       1.219ms     609.256us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                          []  
                                            aten::slice         0.93%     932.778us         1.10%       1.105ms      10.940us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           101                     [[128], [], [], [], []]  
                                       aten::as_strided         0.18%     181.669us         0.18%     181.669us       1.747us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           104                         [[128], [], [], []]  
                                      prepare_inputs_t0         1.65%       1.650ms         3.79%       3.795ms       3.795ms       0.000us         0.00%      15.490us      15.490us           0 B          -4 B           0 B      -2.50 KB             1                                          []  
                                            aten::slice         0.10%     104.326us         0.13%     127.350us      10.612us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12               [[128, 2560], [], [], [], []]  
                                       aten::as_strided         0.02%      23.024us         0.02%      23.024us       1.919us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12                   [[128, 2560], [], [], []]  
                                  cudaStreamIsCapturing         0.10%      97.603us         0.10%      97.603us       2.033us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            48                                          []  
                                        cudaMemcpyAsync         0.90%     904.202us         0.90%     904.202us      14.823us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            61                                          []  
                                       aten::lift_fresh         0.00%       1.354us         0.00%       1.354us       1.354us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                      [[16]]  
                                          aten::flatten         0.03%      28.089us         0.05%      46.984us      15.661us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3                      [[128, 40960], [], []]  
                                             aten::view         0.02%      18.895us         0.02%      18.895us       6.298us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3                          [[128, 40960], []]  
                                            aten::slice         0.47%     473.849us         0.56%     561.663us      11.233us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50                   [[40960], [], [], [], []]  
                                       aten::as_strided         0.09%      87.814us         0.09%      87.814us       1.756us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50                       [[40960], [], [], []]  
                                     aten::index_select         0.01%       5.193us         0.01%       5.193us       5.193us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                 [[5242880], [], [16], [16]]  
                                            aten::slice         0.12%     116.939us         0.14%     135.712us      10.439us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13                     [[129], [], [], [], []]  
                                       aten::as_strided         0.02%      18.773us         0.02%      18.773us       1.444us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13                         [[129], [], [], []]  
                                       aten::lift_fresh         0.00%       2.748us         0.00%       2.748us       0.550us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5                                       [[1]]  
