-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------------  
                                prefill_graph_replay_t0         0.00%       0.000us         0.00%       0.000us       0.000us      31.051ms        63.97%      31.051ms      31.051ms           0 B           0 B           0 B           0 B             1                                          []  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      17.433ms        35.91%      17.433ms     311.305us           0 B           0 B           0 B           0 B            56                                          []  
                                       execute_model_t1         0.00%       0.000us         0.00%       0.000us       0.000us      17.105ms        35.24%      17.105ms      17.105ms           0 B           0 B           0 B           0 B             1                                          []  
                                       execute_model_t2         0.00%       0.000us         0.00%       0.000us       0.000us      14.603ms        30.08%      14.603ms      14.603ms           0 B           0 B           0 B           0 B             1                                          []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      10.930ms        22.51%      10.930ms      64.292us           0 B           0 B           0 B           0 B           170                                          []  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       9.328ms        19.22%       9.328ms     166.575us           0 B           0 B           0 B           0 B            56                                          []  
                                runner_model_forward_t2         0.00%       0.000us         0.00%       0.000us       0.000us       8.838ms        18.21%       8.838ms       8.838ms           0 B           0 B           0 B           0 B             1                                          []  
                                runner_model_forward_t1         0.00%       0.000us         0.00%       0.000us       0.000us       8.802ms        18.13%       8.802ms       8.802ms           0 B           0 B           0 B           0 B             1                                          []  
                                      prepare_inputs_t0         0.00%       0.000us         0.00%       0.000us       0.000us       3.887ms         8.01%       3.887ms       3.887ms           0 B           0 B           0 B           0 B             1                                          []  
                                      prepare_inputs_t1         0.00%       0.000us         0.00%       0.000us       0.000us       3.118ms         6.42%       3.118ms       3.118ms           0 B           0 B           0 B           0 B             1                                          []  
                                      prepare_inputs_t2         0.00%       0.000us         0.00%       0.000us       0.000us       2.572ms         5.30%       2.572ms       2.572ms           0 B           0 B           0 B           0 B             1                                          []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.226ms         4.58%       2.226ms      79.488us           0 B           0 B           0 B           0 B            28                                          []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.012ms         4.14%       2.012ms      35.927us           0 B           0 B           0 B           0 B            56                                          []  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       1.547ms         3.19%       1.547ms      27.626us           0 B           0 B           0 B           0 B            56                                          []  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     951.077us         1.96%     951.077us      16.984us           0 B           0 B           0 B           0 B            56                                          []  
                     runner_build_attention_metadata_t1         0.00%       0.000us         0.00%       0.000us       0.000us     928.802us         1.91%     928.802us     928.802us           0 B           0 B           0 B           0 B             1                                          []  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     379.962us         0.78%     379.962us       4.523us           0 B           0 B           0 B           0 B            84                                          []  
                                               aten::mm         0.13%     146.431us         0.15%     175.569us      87.785us     363.520us         0.75%     363.520us     181.760us           0 B           0 B      12.06 MB      12.06 MB             2                [[128, 2048], [2048, 24704]]  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     351.102us         0.72%     351.102us       4.180us           0 B           0 B           0 B           0 B            84                                          []  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     314.082us         0.65%     314.082us       3.878us           0 B           0 B           0 B           0 B            81                                          []  
                                  copy_suffix_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     305.597us         0.63%     305.597us       2.729us           0 B           0 B           0 B           0 B           112                                          []  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     278.755us         0.57%     278.755us       3.441us           0 B           0 B           0 B           0 B            81                                          []  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     266.496us         0.55%     266.496us       3.173us           0 B           0 B           0 B           0 B            84                                          []  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     254.753us         0.52%     254.753us       9.098us           0 B           0 B           0 B           0 B            28                                          []  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     241.117us         0.50%     241.117us       2.153us           0 B           0 B           0 B           0 B           112                                          []  
                                     _fused_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     207.488us         0.43%     207.488us      69.163us           0 B           0 B           0 B           0 B             3                                          []  
                                prefill_constraint_topk         0.00%       0.000us         0.00%       0.000us       0.000us     190.464us         0.39%     190.464us     190.464us           0 B           0 B           0 B           0 B             1                                          []  
                               cache_unshared_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     184.131us         0.38%     184.131us       1.644us           0 B           0 B           0 B           0 B           112                                          []  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     158.340us         0.33%     158.340us       1.131us           0 B           0 B           0 B           0 B           140                                          []  
                                _beam_group_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     152.065us         0.31%     152.065us      76.033us           0 B           0 B           0 B           0 B             2                                          []  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     151.585us         0.31%     151.585us       1.330us           0 B           0 B           0 B           0 B           114                                          []  
                                       execute_model_t0         0.00%       0.000us         0.00%       0.000us       0.000us     150.977us         0.31%     150.977us     150.977us           0 B           0 B           0 B           0 B             1                                          []  
                     runner_build_attention_metadata_t2         0.00%       0.000us         0.00%       0.000us       0.000us     147.648us         0.30%     147.648us     147.648us           0 B           0 B           0 B           0 B             1                                          []  
                                               aten::mm         0.07%      79.805us         0.09%     102.163us     102.163us     143.969us         0.30%     143.969us     143.969us           0 B           0 B      48.50 KB      48.50 KB             1                  [[1, 2048], [2048, 24704]]  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     143.969us         0.30%     143.969us     143.969us           0 B           0 B           0 B           0 B             1                                          []  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     138.913us         0.29%     138.913us       2.481us           0 B           0 B           0 B           0 B            56                                          []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     138.595us         0.29%     138.595us       1.237us           0 B           0 B           0 B           0 B           112                                          []  
                                beam_worker_decision_t1         0.00%       0.000us         0.00%       0.000us       0.000us     130.177us         0.27%     130.177us     130.177us           0 B           0 B           0 B           0 B             1                                          []  
void vllm::merge_attn_states_kernel<__nv_bfloat16, _...         0.00%       0.000us         0.00%       0.000us       0.000us      94.305us         0.19%      94.305us       1.684us           0 B           0 B           0 B           0 B            56                                          []  
                                beam_worker_decision_t2         0.00%       0.000us         0.00%       0.000us       0.000us      88.032us         0.18%      88.032us      88.032us           0 B           0 B           0 B           0 B             1                                          []  
                                              memcpy128         0.00%       0.000us         0.00%       0.000us       0.000us      76.801us         0.16%      76.801us       2.743us           0 B           0 B           0 B           0 B            28                                          []  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      72.101us         0.15%      72.101us       1.288us           0 B           0 B           0 B           0 B            56                                          []  
                               _select_kv_gather_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.424us         0.06%      27.424us      27.424us           0 B           0 B           0 B           0 B             1                                          []  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      22.208us         0.05%      22.208us       1.009us           0 B           0 B           0 B           0 B            22                                          []  
                               constraint_try_sample_t2         0.00%       0.000us         0.00%       0.000us       0.000us      17.888us         0.04%      17.888us      17.888us           0 B           0 B           0 B           0 B             1                                          []  
                              _select_kv_scatter_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.728us         0.04%      17.728us      17.728us           0 B           0 B           0 B           0 B             1                                          []  
                                        constraint_topk         0.00%       0.000us         0.00%       0.000us       0.000us      17.024us         0.04%      17.024us       8.512us           0 B           0 B           0 B           0 B             2                                          []  
                               constraint_try_sample_t1         0.00%       0.000us         0.00%       0.000us       0.000us      16.832us         0.03%      16.832us      16.832us           0 B           0 B           0 B           0 B             1                                          []  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.778us         0.03%      15.778us       0.526us           0 B           0 B           0 B           0 B            30                                          []  
                                            aten::copy_         0.25%     295.661us         0.46%     540.880us      30.049us      15.010us         0.03%      15.010us       0.834us           0 B           0 B           0 B           0 B            18                          [[128], [128], []]  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.657us         0.03%      14.657us       4.886us           0 B           0 B           0 B           0 B             3                                          []  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      12.033us         0.02%      12.033us       4.011us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::copy_         0.27%     310.326us         0.50%     585.154us      32.509us      11.426us         0.02%      11.426us       0.635us           0 B           0 B           0 B           0 B            18                              [[1], [1], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      10.657us         0.02%      10.657us       1.776us           0 B           0 B           0 B           0 B             6                                          []  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.240us         0.02%      10.240us       2.560us           0 B           0 B           0 B           0 B             4                                          []  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       9.920us         0.02%       9.920us       3.307us           0 B           0 B           0 B           0 B             3                                          []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.511us         0.02%       8.511us       0.946us           0 B           0 B           0 B           0 B             9                                          []  
                                            aten::index         0.12%     145.216us         0.20%     227.018us      75.673us       8.352us         0.02%       8.352us       2.784us           0 B           0 B       5.00 KB       5.00 KB             3                                 [[128], []]  
                                            aten::copy_         0.11%     124.613us         0.22%     254.057us      31.757us       8.224us         0.02%       8.224us       1.028us           0 B           0 B           0 B           0 B             8                        [[1024], [1024], []]  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       7.744us         0.02%       7.744us       2.581us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::fill_         0.12%     144.649us         0.25%     288.537us      32.060us       6.753us         0.01%       6.753us       0.750us           0 B           0 B           0 B           0 B             9                                 [[128], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.112us         0.01%       6.112us       1.528us           0 B           0 B           0 B           0 B             4                                          []  
                            _beam_group_finalize_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.120us         0.01%       5.120us       2.560us           0 B           0 B           0 B           0 B             2                                          []  
                                            aten::copy_         0.07%      86.266us         0.14%     160.231us      40.058us       4.928us         0.01%       4.928us       1.232us           0 B           0 B           0 B           0 B             4                    [[128, 1], [128, 1], []]  
                                            aten::copy_         0.08%      89.207us         0.12%     135.279us      22.547us       3.744us         0.01%       3.744us       0.624us           0 B           0 B           0 B           0 B             6                          [[385], [385], []]  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.744us         0.01%       3.744us       1.248us           0 B           0 B           0 B           0 B             3                                          []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.648us         0.01%       3.648us       1.216us           0 B           0 B           0 B           0 B             3                                          []  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.615us         0.01%       3.615us       0.904us           0 B           0 B           0 B           0 B             4                                          []  
                                            aten::index         0.04%      50.752us         0.13%     150.096us     150.096us       3.520us         0.01%       5.248us       5.248us           0 B           0 B       4.00 KB       3.50 KB             1                          [[1024, 2048], []]  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.520us         0.01%       3.520us       3.520us           0 B           0 B           0 B           0 B             1                                          []  
                                              aten::add         0.06%      70.002us         0.09%     102.811us      34.270us       3.520us         0.01%       3.520us       1.173us           0 B           0 B       1.50 KB       1.50 KB             3                              [[1], [1], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.520us         0.01%       3.520us       1.173us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::index         0.09%     104.316us         0.25%     289.979us     144.990us       3.424us         0.01%       7.201us       3.601us           0 B           0 B       1.00 MB    1022.00 KB             2                           [[128, 2048], []]  
                                            aten::copy_         0.08%      89.962us         0.15%     176.617us      44.154us       3.168us         0.01%       3.168us       0.792us           0 B           0 B           0 B           0 B             4                  [[1, 2560], [1, 2560], []]  
                                              aten::sub         0.08%      96.592us         0.13%     146.122us      48.707us       2.976us         0.01%       2.976us       0.992us           0 B           0 B       1.50 KB       1.50 KB             3                               [[1], [], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.976us         0.01%       2.976us       0.992us           0 B           0 B           0 B           0 B             3                                          []  
                                            aten::copy_         0.04%      44.500us         0.07%      80.849us      40.425us       2.849us         0.01%       2.849us       1.425us           0 B           0 B           0 B           0 B             2                    [[128, 3], [128, 3], []]  
                                            aten::fill_         0.05%      58.760us         0.08%      92.523us      15.420us       2.656us         0.01%       2.656us       0.443us           0 B           0 B           0 B           0 B             6                                 [[127], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.656us         0.01%       2.656us       0.885us           0 B           0 B           0 B           0 B             3                                          []  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.497us         0.01%       2.497us       0.416us           0 B           0 B           0 B           0 B             6                                          []  
                                              aten::add         0.04%      48.059us         0.06%      71.406us      35.703us       2.368us         0.00%       2.368us       1.184us           0 B           0 B       2.00 KB       2.00 KB             2                          [[128], [128], []]  
                                            aten::copy_         0.09%     104.964us         0.15%     177.578us      44.395us       2.272us         0.00%       2.272us       0.568us           0 B           0 B           0 B           0 B             4                          [[129], [129], []]  
                                      decode_result_d2h         0.00%       0.000us         0.00%       0.000us       0.000us       2.176us         0.00%       2.176us       1.088us           0 B           0 B           0 B           0 B             2                                          []  
                                           aten::gather         0.03%      36.251us         0.05%      57.769us      57.769us       2.112us         0.00%       2.112us       2.112us           0 B           0 B           0 B           0 B             1        [[3, 1], [], [3, 128], [], [3, 128]]  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.112us         0.00%       2.112us       2.112us           0 B           0 B           0 B           0 B             1                                          []  
                          _grouped_final_outputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.112us         0.00%       2.112us       2.112us           0 B           0 B           0 B           0 B             1                                          []  
                                            aten::copy_         0.04%      40.990us         0.07%      83.020us      41.510us       2.016us         0.00%       2.016us       1.008us           0 B           0 B           0 B           0 B             2                    [[128, 2], [128, 2], []]  
                                            aten::copy_         0.03%      32.085us         0.06%      69.662us      34.831us       2.015us         0.00%       2.015us       1.007us           0 B           0 B           0 B           0 B             2              [[1, 128, 3], [1, 128, 3], []]  
                                            aten::copy_         0.02%      21.420us         0.04%      48.467us      24.234us       1.984us         0.00%       1.984us       0.992us           0 B           0 B           0 B           0 B             2                              [[2], [2], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.00%       1.952us       0.976us           0 B           0 B           0 B           0 B             2                                          []  
                                            aten::copy_         0.02%      22.597us         0.04%      48.227us      24.113us       1.952us         0.00%       1.952us       0.976us           0 B           0 B           0 B           0 B             2                    [[1, 128], [1, 128], []]  
                                           aten::arange         0.03%      30.659us         0.06%      72.845us      36.423us       1.888us         0.00%       1.888us       0.944us           0 B           0 B           0 B           0 B             2                         [[], [], [], [128]]  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.888us         0.00%       1.888us       0.944us           0 B           0 B           0 B           0 B             2                                          []  
                                            aten::index         0.03%      40.407us         0.06%      66.435us      66.435us       1.888us         0.00%       1.888us       1.888us           0 B           0 B         512 B         512 B             1                               [[1, 64], []]  
                                            aten::fill_         0.02%      25.401us         0.04%      46.440us      23.220us       1.856us         0.00%       1.856us       0.928us           0 B           0 B           0 B           0 B             2                              [[1, 128], []]  
                                           aten::arange         0.03%      40.129us         0.06%      73.924us      36.962us       1.824us         0.00%       1.824us       0.912us           0 B           0 B           0 B           0 B             2                                 [[], [128]]  
                                            aten::fill_         0.03%      31.141us         0.05%      54.981us      18.327us       1.822us         0.00%       1.822us       0.607us           0 B           0 B           0 B           0 B             3                                   [[1], []]  
                                           aten::arange         0.02%      24.529us         0.04%      44.392us      22.196us       1.791us         0.00%       1.791us       0.895us           0 B           0 B           0 B           0 B             2                         [[], [], [], [129]]  
                                        cudaEventRecord         0.04%      45.529us         0.04%      45.529us       3.794us       1.696us         0.00%       1.696us       0.141us           0 B           0 B           0 B           0 B            12                                          []  
                                              aten::cat         0.03%      35.310us         0.05%      52.690us      52.690us       1.696us         0.00%       1.696us       1.696us           0 B           0 B         512 B         512 B             1                                    [[], []]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.696us         0.00%       1.696us       1.696us           0 B           0 B           0 B           0 B             1                                          []  
                                constraint_prelaunch_t0         0.00%       0.000us         0.00%       0.000us       0.000us       1.568us         0.00%       1.568us       1.568us           0 B           0 B           0 B           0 B             1                                          []  
                                              aten::add         0.02%      28.077us         0.03%      40.124us      40.124us       1.280us         0.00%       1.280us       1.280us           0 B           0 B       8.00 KB       8.00 KB             1                        [[1024], [1024], []]  
                         _grouped_final_sequence_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.216us         0.00%       1.216us       1.216us           0 B           0 B           0 B           0 B             1                                          []  
                               _beam_result_pack_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.120us         0.00%       1.120us       1.120us           0 B           0 B           0 B           0 B             1                                          []  
                                            aten::copy_         0.01%      12.670us         0.03%      31.489us      31.489us       0.992us         0.00%       0.992us       0.992us           0 B           0 B           0 B           0 B             1                      [[1, 64], [1, 64], []]  
                                            aten::fill_         0.02%      18.921us         0.03%      39.832us      39.832us       0.960us         0.00%       0.960us       0.960us           0 B           0 B           0 B           0 B             1                           [[1, 128, 3], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.928us         0.00%       0.928us       0.928us           0 B           0 B           0 B           0 B             1                                          []  
                            runner_prepare_input_ids_t0         0.00%       0.000us         0.00%       0.000us       0.000us       0.512us         0.00%       0.512us       0.512us           0 B           0 B           0 B           0 B             1                                          []  
                            runner_prepare_input_ids_t1         0.00%       0.000us         0.00%       0.000us       0.000us       0.416us         0.00%       0.416us       0.416us           0 B           0 B           0 B           0 B             1                                          []  
                                            aten::copy_         0.02%      23.704us         0.04%      43.275us      21.638us       0.416us         0.00%       0.416us       0.208us           0 B           0 B           0 B           0 B             2                          [[132], [132], []]  
                            runner_prepare_input_ids_t2         0.00%       0.000us         0.00%       0.000us       0.000us       0.416us         0.00%       0.416us       0.416us           0 B           0 B           0 B           0 B             1                                          []  
                                  constraint_prepare_t0         0.00%       0.000us         0.00%       0.000us       0.000us       0.384us         0.00%       0.384us       0.384us           0 B           0 B           0 B           0 B             1                                          []  
                   onerec_prefill_miss_profiled_request         5.82%       6.775ms        99.85%     116.181ms     116.181ms       0.000us         0.00%     620.867us     620.867us       1.50 KB           0 B           0 B           0 B             1                                          []  
                           frontend_prepare_requests_t0         0.50%     581.256us         0.50%     581.256us     581.256us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                          []  
                        frontend_engine_step_collect_t0         3.76%       4.379ms        41.83%      48.675ms      48.675ms       0.000us         0.00%     176.738us     176.738us       1.50 KB           0 B           0 B           0 B             1                                          []  
                                  scheduler_schedule_t0         2.08%       2.422ms         2.08%       2.422ms       1.211ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                          []  
                                       execute_model_t0         1.37%       1.592ms        10.14%      11.802ms       5.901ms       0.000us         0.00%     176.738us      88.369us           0 B           0 B      52.50 KB           0 B             2                                          []  
                                Activity Buffer Request         0.51%     598.435us         0.51%     598.435us     598.435us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                          []  
                                   cudaEventSynchronize        27.46%      31.953ms        27.46%      31.953ms       2.663ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12                                          []  
                                runner_update_states_t0         0.93%       1.077ms         0.99%       1.156ms     577.965us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2                                          []  
                                            aten::slice         0.73%     844.234us         0.87%       1.016ms      10.064us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           101                     [[128], [], [], [], []]  
                                       aten::as_strided         0.16%     181.737us         0.16%     181.737us       1.747us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           104                         [[128], [], [], []]  
                                      prepare_inputs_t0         1.66%       1.936ms         3.61%       4.198ms       4.198ms       0.000us         0.00%      18.273us      18.273us           0 B          -4 B           0 B     -21.00 KB             1                                          []  
                                            aten::slice         0.08%      92.283us         0.10%     111.023us       9.252us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12               [[128, 2560], [], [], [], []]  
                                       aten::as_strided         0.02%      18.740us         0.02%      18.740us       1.562us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12                   [[128, 2560], [], [], []]  
                                  cudaStreamIsCapturing         0.08%      90.893us         0.08%      90.893us       1.894us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            48                                          []  
                                        cudaMemcpyAsync         0.73%     850.345us         0.73%     850.345us      13.940us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            61                                          []  
                                       aten::lift_fresh         0.00%       1.332us         0.00%       1.332us       1.332us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                    [[1024]]  
                                          aten::flatten         0.03%      30.586us         0.04%      51.638us      17.213us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3                      [[128, 40960], [], []]  
                                             aten::view         0.02%      21.052us         0.02%      21.052us       7.017us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3                          [[128, 40960], []]  
                                            aten::slice         0.35%     405.960us         0.41%     482.493us       9.650us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50                   [[40960], [], [], [], []]  
                                       aten::as_strided         0.07%      76.533us         0.07%      76.533us       1.531us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50                       [[40960], [], [], []]  
                                     aten::index_select         0.01%       9.422us         0.01%       9.422us       9.422us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1             [[5242880], [], [1024], [1024]]  
                                            aten::slice         0.09%     103.290us         0.10%     121.006us       9.308us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13                     [[129], [], [], [], []]  
