-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ----------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                              Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ----------------------------------------  
                 onerec_prefill_v1_hit_profiled_request         0.00%       0.000us         0.00%       0.000us       0.000us      71.926ms       257.09%      71.926ms      35.963ms           0 B           0 B           0 B           0 B             2                                        []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      10.338ms        36.95%      10.338ms      61.535us           0 B           0 B           0 B           0 B           168                                        []  
                                   prefill_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us       7.093ms        25.35%       7.093ms       7.093ms           0 B           0 B           0 B           0 B             1                                        []  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.390ms        15.69%       4.390ms      39.197us           0 B           0 B           0 B           0 B           112                                        []  
                                               aten::mm         0.29%     165.039us         0.43%     246.611us     123.306us       3.022ms        10.80%       3.022ms       1.511ms           0 B           0 B      86.12 MB      86.12 MB             2             [[128, 2048], [2048, 176384]]  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       3.020ms        10.79%       3.020ms       1.510ms           0 B           0 B           0 B           0 B             2                                        []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.977ms         7.07%       1.977ms      35.300us           0 B           0 B           0 B           0 B            56                                        []  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       1.545ms         5.52%       1.545ms      27.581us           0 B           0 B           0 B           0 B            56                                        []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.034ms         3.70%       1.034ms      36.926us           0 B           0 B           0 B           0 B            28                                        []  
                                               aten::mm         0.15%      86.138us         0.18%     104.560us     104.560us     980.611us         3.51%     980.611us     980.611us           0 B           0 B     344.50 KB     344.50 KB             1               [[1, 2048], [2048, 176384]]  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     980.611us         3.51%     980.611us     980.611us           0 B           0 B           0 B           0 B             1                                        []  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     945.599us         3.38%     945.599us      16.886us           0 B           0 B           0 B           0 B            56                                        []  
                                     _fused_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     895.076us         3.20%     895.076us     298.359us           0 B           0 B           0 B           0 B             3                                        []  
                                  copy_suffix_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     313.768us         1.12%     313.768us       2.802us           0 B           0 B           0 B           0 B           112                                        []  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     240.386us         0.86%     240.386us       2.146us           0 B           0 B           0 B           0 B           112                                        []  
                               cache_unshared_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     205.317us         0.73%     205.317us       1.833us           0 B           0 B           0 B           0 B           112                                        []  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     183.460us         0.66%     183.460us       2.184us           0 B           0 B           0 B           0 B            84                                        []  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     181.408us         0.65%     181.408us       2.160us           0 B           0 B           0 B           0 B            84                                        []  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     164.611us         0.59%     164.611us       1.960us           0 B           0 B           0 B           0 B            84                                        []  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     152.318us         0.54%     152.318us       1.313us           0 B           0 B           0 B           0 B           116                                        []  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     139.873us         0.50%     139.873us       1.249us           0 B           0 B           0 B           0 B           112                                        []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     139.203us         0.50%     139.203us       1.243us           0 B           0 B           0 B           0 B           112                                        []  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     138.401us         0.49%     138.401us       2.471us           0 B           0 B           0 B           0 B            56                                        []  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     134.788us         0.48%     134.788us       1.664us           0 B           0 B           0 B           0 B            81                                        []  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     107.587us         0.38%     107.587us       1.328us           0 B           0 B           0 B           0 B            81                                        []  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      98.688us         0.35%      98.688us       1.175us           0 B           0 B           0 B           0 B            84                                        []  
void vllm::merge_attn_states_kernel<__nv_bfloat16, _...         0.00%       0.000us         0.00%       0.000us       0.000us      95.006us         0.34%      95.006us       1.697us           0 B           0 B           0 B           0 B            56                                        []  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      67.708us         0.24%      67.708us       1.167us           0 B           0 B           0 B           0 B            58                                        []  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      65.379us         0.23%      65.379us       1.167us           0 B           0 B           0 B           0 B            56                                        []  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      53.151us         0.19%      53.151us       1.898us           0 B           0 B           0 B           0 B            28                                        []  
                               _select_kv_gather_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      48.128us         0.17%      48.128us      24.064us           0 B           0 B           0 B           0 B             2                                        []  
                                _merge_beam_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      46.719us         0.17%      46.719us       2.336us           0 B           0 B           0 B           0 B            20                                        []  
                              _select_kv_scatter_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      38.496us         0.14%      38.496us      19.248us           0 B           0 B           0 B           0 B             2                                        []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.655us         0.10%      27.655us       0.922us           0 B           0 B           0 B           0 B            30                                        []  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      24.031us         0.09%      24.031us       1.001us           0 B           0 B           0 B           0 B            24                                        []  
                                            aten::copy_         0.55%     314.474us         1.17%     669.695us      30.441us      23.263us         0.08%      23.263us       1.057us           0 B           0 B           0 B           0 B            22                            [[1], [1], []]  
                                            aten::fill_         0.33%     189.272us         0.61%     350.321us      21.895us      14.719us         0.05%      14.719us       0.920us           0 B           0 B           0 B           0 B            16                                  [[], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.935us         0.04%      11.935us       1.085us           0 B           0 B           0 B           0 B            11                                        []  
                                            aten::copy_         0.19%     106.494us         0.36%     205.447us      25.681us      10.208us         0.04%      10.208us       1.276us           0 B           0 B           0 B           0 B             8                        [[128], [128], []]  
                                _local_beam_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.953us         0.04%       9.953us       2.488us           0 B           0 B           0 B           0 B             4                                        []  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.920us         0.04%       9.920us       1.417us           0 B           0 B           0 B           0 B             7                                        []  
                                      aten::bitwise_and         0.29%     167.686us         0.43%     246.726us      30.841us       9.536us         0.03%       9.536us       1.192us           0 B           0 B       4.00 KB       4.00 KB             8                                [[1], [1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.536us         0.03%       9.536us       1.192us           0 B           0 B           0 B           0 B             8                                        []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.183us         0.03%       9.183us       1.530us           0 B           0 B           0 B           0 B             6                                        []  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       8.736us         0.03%       8.736us       2.912us           0 B           0 B           0 B           0 B             3                                        []  
                                       aten::bitwise_or         0.27%     157.053us         0.40%     227.522us      32.503us       8.192us         0.03%       8.192us       1.170us           0 B           0 B       3.50 KB       3.50 KB             7                                [[1], [1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.192us         0.03%       8.192us       1.170us           0 B           0 B           0 B           0 B             7                                        []  
                                               aten::ne         0.36%     205.486us         0.49%     281.026us      40.147us       7.807us         0.03%       7.807us       1.115us           0 B           0 B       3.50 KB       3.50 KB             7                                 [[1], []]  
                             _prepare_candidates_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.776us         0.03%       7.776us       2.592us           0 B           0 B           0 B           0 B             3                                        []  
                                            aten::fill_         0.20%     111.985us         0.38%     217.855us      27.232us       7.711us         0.03%       7.711us       0.964us           0 B           0 B           0 B           0 B             8                                 [[1], []]  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       7.679us         0.03%       7.679us       0.768us           0 B           0 B           0 B           0 B            10                                        []  
                                            aten::fill_         0.17%      96.343us         0.31%     178.784us      22.348us       7.457us         0.03%       7.457us       0.932us           0 B           0 B           0 B           0 B             8                            [[1, 128], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.358us         0.03%       7.358us       0.920us           0 B           0 B           0 B           0 B             8                                        []  
                                      aten::bitwise_not         0.25%     140.734us         0.38%     219.768us      36.628us       6.849us         0.02%       6.849us       1.142us           0 B           0 B       3.00 KB       3.00 KB             6                                     [[1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.849us         0.02%       6.849us       1.142us           0 B           0 B           0 B           0 B             6                                        []  
                                            aten::copy_         0.21%     118.149us         0.42%     239.040us      29.880us       6.592us         0.02%       6.592us       0.824us           0 B           0 B           0 B           0 B             8                          [[16], [16], []]  
                                  _validate_step_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.272us         0.02%       6.272us       2.091us           0 B           0 B           0 B           0 B             3                                        []  
                                            aten::where         0.27%     152.709us         1.18%     672.768us      84.096us       6.016us         0.02%      15.649us       1.956us           0 B           0 B       4.00 KB      -2.00 KB             8                        [[128], [128], []]  
                             _group_beam_outputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.728us         0.02%       5.728us       1.909us           0 B           0 B           0 B           0 B             3                                        []  
                                            aten::fill_         0.12%      69.147us         0.22%     124.314us      20.719us       5.666us         0.02%       5.666us       0.944us           0 B           0 B           0 B           0 B             6                          [[1, 32896], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.215us         0.02%       5.215us       1.043us           0 B           0 B           0 B           0 B             5                                        []  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       5.088us         0.02%       5.088us       1.696us           0 B           0 B           0 B           0 B             3                                        []  
                                              aten::mul         0.09%      52.670us         0.13%      74.381us      37.190us       4.705us         0.02%       4.705us       2.353us           0 B           0 B       3.00 KB       3.00 KB             2                              [[129], [1]]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.705us         0.02%       4.705us       2.353us           0 B           0 B           0 B           0 B             2                                        []  
                                            aten::where         0.27%     153.017us         1.44%     823.041us     102.880us       4.672us         0.02%      16.702us       2.088us           0 B           0 B       4.00 KB      -4.00 KB             8                             [[1], [], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.672us         0.02%       4.672us       1.168us           0 B           0 B           0 B           0 B             4                                        []  
                                    _commit_step_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.449us         0.02%       4.449us       1.483us           0 B           0 B           0 B           0 B             3                                        []  
                                            aten::copy_         0.07%      42.529us         0.14%      80.230us      40.115us       4.448us         0.02%       4.448us       2.224us           0 B           0 B           0 B           0 B             2                      [[1158], [1158], []]  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       4.321us         0.02%       4.321us       1.440us           0 B           0 B           0 B           0 B             3                                        []  
                                               aten::eq         0.21%     117.580us         0.28%     162.813us      40.703us       4.128us         0.01%       4.128us       1.032us           0 B           0 B       2.00 KB       2.00 KB             4                                 [[1], []]  
                               _append_completed_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.808us         0.01%       3.808us       1.269us           0 B           0 B           0 B           0 B             3                                        []  
                                   _commit_beams_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.712us         0.01%       3.712us       1.237us           0 B           0 B           0 B           0 B             3                                        []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.712us         0.01%       3.712us       0.928us           0 B           0 B           0 B           0 B             4                                        []  
                                 _stage_sequence_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.679us         0.01%       3.679us       1.226us           0 B           0 B           0 B           0 B             3                                        []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.616us         0.01%       3.616us       1.205us           0 B           0 B           0 B           0 B             3                                        []  
                                              aten::sub         0.16%      92.531us         0.23%     133.939us      44.646us       3.553us         0.01%       3.553us       1.184us           0 B           0 B       1.50 KB       1.50 KB             3                            [[1], [1], []]  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.456us         0.01%       3.456us       1.152us           0 B           0 B           0 B           0 B             3                                        []  
                                            aten::index         0.09%      53.200us         0.27%     155.527us     155.527us       3.424us         0.01%       5.280us       5.280us           0 B           0 B       4.00 KB       3.50 KB             1                          [[16, 2048], []]  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.424us         0.01%       3.424us       3.424us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::copy_         0.09%      49.874us         0.15%      85.432us      28.477us       3.328us         0.01%       3.328us       1.109us           0 B           0 B           0 B           0 B             3                        [[129], [129], []]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.201us         0.01%       3.201us       1.600us           0 B           0 B           0 B           0 B             2                                        []  
                                    cudaStreamWaitEvent         0.09%      53.412us         0.09%      53.412us       4.451us       3.200us         0.01%       3.200us       0.267us           0 B           0 B           0 B           0 B            12                                        []  
                                      aten::bitwise_and         0.08%      44.259us         0.12%      66.148us      33.074us       2.880us         0.01%       2.880us       1.440us           0 B           0 B       1.00 KB       1.00 KB             2                              [[1], [128]]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.880us         0.01%       2.880us       1.440us           0 B           0 B           0 B           0 B             2                                        []  
                                            aten::fill_         0.07%      38.321us         0.12%      66.264us      22.088us       2.818us         0.01%       2.818us       0.939us           0 B           0 B           0 B           0 B             3                            [[128, 3], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.816us         0.01%       2.816us       1.408us           0 B           0 B           0 B           0 B             2                                        []  
                                            aten::where         0.16%      90.698us         0.71%     408.911us     102.228us       2.432us         0.01%       6.752us       1.688us           0 B           0 B       2.00 KB      -1.00 KB             4                            [[1], [], [1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.432us         0.01%       2.432us       1.216us           0 B           0 B           0 B           0 B             2                                        []  
                                            aten::copy_         0.07%      38.515us         0.12%      70.914us      35.457us       2.368us         0.01%       2.368us       1.184us           0 B           0 B           0 B           0 B             2                      [[1, 3], [1, 3], []]  
                                            aten::index         0.11%      60.745us         0.17%      97.968us      97.968us       2.368us         0.01%       2.368us       2.368us           0 B           0 B         512 B         512 B             1                               [[128], []]  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.368us         0.01%       2.368us       2.368us           0 B           0 B           0 B           0 B             1                                        []  
                                   cudaEventSynchronize         2.17%       1.240ms         2.17%       1.240ms     137.738us       2.336us         0.01%       2.336us       0.260us           0 B           0 B           0 B           0 B             9                                        []  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.048us         0.01%       2.048us       2.048us           0 B           0 B           0 B           0 B             1                                        []  
                               _rank_final_beams_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.01%       1.952us       1.952us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::fill_         0.06%      31.762us         0.11%      64.066us      32.033us       1.889us         0.01%       1.889us       0.945us           0 B           0 B           0 B           0 B             2                         [[1, 128, 3], []]  
                                            aten::fill_         0.04%      23.123us         0.07%      41.366us      20.683us       1.856us         0.01%       1.856us       0.928us           0 B           0 B           0 B           0 B             2                         [[1, 3, 128], []]  
                                            aten::fill_         0.05%      31.184us         0.11%      62.431us      31.216us       1.824us         0.01%       1.824us       0.912us           0 B           0 B           0 B           0 B             2                               [[128], []]  
                               _pack_final_beams_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.792us         0.01%       1.792us       1.792us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::where         0.07%      38.207us         0.29%     167.066us      83.533us       1.760us         0.01%       4.448us       2.224us           0 B           0 B       2.00 KB        -512 B             2                  [[128, 1], [128, 2], []]  
                                            aten::copy_         0.03%      18.042us         0.05%      28.223us      28.223us       1.536us         0.01%       1.536us       1.536us           0 B           0 B           0 B           0 B             1                  [[128, 2], [128, 2], []]  
                                            aten::copy_         0.06%      35.971us         0.12%      70.863us      35.432us       1.440us         0.01%       1.440us       0.720us           0 B           0 B           0 B           0 B             2                  [[1, 512], [1, 512], []]  
                                            aten::where         0.07%      37.204us         0.29%     165.905us      82.952us       1.407us         0.01%       3.742us       1.871us           0 B           0 B       1.00 KB        -512 B             2                  [[128, 1], [128, 1], []]  
                                            aten::copy_         0.03%      18.097us         0.05%      28.408us      28.408us       1.280us         0.00%       1.280us       1.280us           0 B           0 B           0 B           0 B             1                  [[128, 1], [128, 1], []]  
                                              aten::add         0.04%      23.002us         0.06%      34.230us      34.230us       1.216us         0.00%       1.216us       1.216us           0 B           0 B         512 B         512 B             1                            [[1], [1], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.153us         0.00%       1.153us       1.153us           0 B           0 B           0 B           0 B             1                                        []  
                                              aten::add         0.05%      27.385us         0.07%      40.388us      40.388us       1.152us         0.00%       1.152us       1.152us           0 B           0 B         512 B         512 B             1                          [[16], [16], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.152us         0.00%       1.152us       1.152us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::copy_         0.04%      20.656us         0.06%      35.625us      35.625us       1.088us         0.00%       1.088us       1.088us           0 B           0 B           0 B           0 B             1                      [[1284], [1284], []]  
                                              aten::sub         0.06%      31.836us         0.08%      46.744us      46.744us       0.992us         0.00%       0.992us       0.992us           0 B           0 B         512 B         512 B             1                             [[1], [], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       0.992us         0.00%       0.992us       0.992us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::copy_         0.02%      11.452us         0.05%      26.828us      26.828us       0.992us         0.00%       0.992us       0.992us           0 B           0 B           0 B           0 B             1                            [[3], [3], []]  
                                            aten::copy_         0.02%      10.549us         0.04%      23.551us      23.551us       0.991us         0.00%       0.991us       0.991us           0 B           0 B           0 B           0 B             1                            [[2], [2], []]  
                                        cudaEventRecord         0.10%      58.752us         0.10%      58.752us       3.264us       0.897us         0.00%       0.897us       0.050us           0 B           0 B           0 B           0 B            18                                        []  
                                            aten::fill_         0.03%      18.742us         0.05%      30.033us      15.016us       0.896us         0.00%       0.896us       0.448us           0 B           0 B           0 B           0 B             2                               [[127], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       0.896us         0.00%       0.896us       0.896us           0 B           0 B           0 B           0 B             1                                        []  
                 onerec_prefill_v1_hit_profiled_request        69.56%      39.800ms        99.62%      57.002ms      57.002ms       0.000us         0.00%       4.185ms       4.185ms           0 B          -1 B           0 B     -86.50 MB             1                                        []  
                                Activity Buffer Request         1.73%     989.776us         1.73%     989.776us     989.776us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::slice         0.58%     333.418us         0.70%     398.100us       7.962us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50                     [[1], [], [], [], []]  
                                       aten::as_strided         0.12%      68.562us         0.12%      68.562us       1.319us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            52                         [[1], [], [], []]  
                                       cudaLaunchKernel         2.42%       1.385ms         2.42%       1.385ms      11.350us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           122                                        []  
                                            aten::slice         0.13%      76.405us         0.17%      95.273us       7.329us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13                [[1, 128], [], [], [], []]  
                                       aten::as_strided         0.07%      37.846us         0.07%      37.846us       1.456us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            26                    [[1, 128], [], [], []]  
                                            aten::zero_         0.11%      60.273us         0.37%     211.452us      30.207us       0.000us         0.00%       6.529us       0.933us           0 B           0 B           0 B           0 B             7                                [[1, 128]]  
                                            aten::slice         0.05%      28.387us         0.06%      34.343us      11.448us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3             [[1, 128, 3], [], [], [], []]  
                                       aten::as_strided         0.02%       8.793us         0.02%       8.793us       1.465us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6                 [[1, 128, 3], [], [], []]  
                                            aten::zero_         0.03%      18.478us         0.14%      82.544us      41.272us       0.000us         0.00%       1.889us       0.945us           0 B           0 B           0 B           0 B             2                             [[1, 128, 3]]  
                                            aten::zero_         0.10%      59.568us         0.35%     202.760us      28.966us       0.000us         0.00%       6.431us       0.919us           0 B           0 B           0 B           0 B             7                                     [[1]]  
                                            aten::slice         0.06%      33.442us         0.07%      38.339us       9.585us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4             [[1, 3, 128], [], [], [], []]  
                                       aten::as_strided         0.02%       8.601us         0.02%       8.601us       1.433us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6                 [[1, 3, 128], [], [], []]  
                                            aten::zero_         0.03%      17.045us         0.10%      58.411us      29.206us       0.000us         0.00%       1.856us       0.928us           0 B           0 B           0 B           0 B             2                             [[1, 3, 128]]  
                                            aten::slice         0.14%      82.441us         0.17%      98.475us       7.575us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13              [[1, 32896], [], [], [], []]  
                                       aten::as_strided         0.04%      24.712us         0.04%      24.712us       1.236us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            20                  [[1, 32896], [], [], []]  
                                            aten::zero_         0.07%      42.694us         0.25%     144.942us      28.988us       0.000us         0.00%       4.706us       0.941us           0 B           0 B           0 B           0 B             5                              [[1, 32896]]  
