-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ----------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                              Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ----------------------------------------  
                onerec_prefill_v1_miss_profiled_request         0.00%       0.000us         0.00%       0.000us       0.000us      90.123ms       170.46%      90.123ms      45.062ms           0 B           0 B           0 B           0 B             2                                        []  
                                   prefill_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us      31.040ms        58.71%      31.040ms      31.040ms           0 B           0 B           0 B           0 B             1                                        []  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      17.467ms        33.04%      17.467ms     311.906us           0 B           0 B           0 B           0 B            56                                        []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      10.552ms        19.96%      10.552ms      62.812us           0 B           0 B           0 B           0 B           168                                        []  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       9.308ms        17.61%       9.308ms     166.215us           0 B           0 B           0 B           0 B            56                                        []  
                                               aten::mm         0.14%     114.541us         0.24%     188.167us      94.084us       3.025ms         5.72%       3.025ms       1.512ms           0 B           0 B      86.12 MB      86.12 MB             2             [[128, 2048], [2048, 176384]]  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       3.022ms         5.72%       3.022ms       1.511ms           0 B           0 B           0 B           0 B             2                                        []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.215ms         4.19%       2.215ms      79.120us           0 B           0 B           0 B           0 B            28                                        []  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.975ms         3.74%       1.975ms      35.271us           0 B           0 B           0 B           0 B            56                                        []  
void flash::flash_fwd_kernel<Flash_fwd_kernel_traits...         0.00%       0.000us         0.00%       0.000us       0.000us       1.547ms         2.93%       1.547ms      27.621us           0 B           0 B           0 B           0 B            56                                        []  
                                               aten::mm         0.10%      79.447us         0.12%      96.823us      96.823us     981.315us         1.86%     981.315us     981.315us           0 B           0 B     344.50 KB     344.50 KB             1               [[1, 2048], [2048, 176384]]  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     981.315us         1.86%     981.315us     981.315us           0 B           0 B           0 B           0 B             1                                        []  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     951.171us         1.80%     951.171us      16.985us           0 B           0 B           0 B           0 B            56                                        []  
                                     _fused_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     897.059us         1.70%     897.059us     299.020us           0 B           0 B           0 B           0 B             3                                        []  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     377.885us         0.71%     377.885us       4.499us           0 B           0 B           0 B           0 B            84                                        []  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     350.976us         0.66%     350.976us       4.178us           0 B           0 B           0 B           0 B            84                                        []  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     314.660us         0.60%     314.660us       3.885us           0 B           0 B           0 B           0 B            81                                        []  
                                  copy_suffix_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     313.315us         0.59%     313.315us       2.797us           0 B           0 B           0 B           0 B           112                                        []  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     270.305us         0.51%     270.305us       3.337us           0 B           0 B           0 B           0 B            81                                        []  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     267.333us         0.51%     267.333us       3.183us           0 B           0 B           0 B           0 B            84                                        []  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     250.240us         0.47%     250.240us       8.937us           0 B           0 B           0 B           0 B            28                                        []  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     240.610us         0.46%     240.610us       2.148us           0 B           0 B           0 B           0 B           112                                        []  
                               cache_unshared_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     206.042us         0.39%     206.042us       1.840us           0 B           0 B           0 B           0 B           112                                        []  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     153.060us         0.29%     153.060us       1.319us           0 B           0 B           0 B           0 B           116                                        []  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     139.972us         0.26%     139.972us       1.250us           0 B           0 B           0 B           0 B           112                                        []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     139.073us         0.26%     139.073us       1.242us           0 B           0 B           0 B           0 B           112                                        []  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     138.082us         0.26%     138.082us       2.466us           0 B           0 B           0 B           0 B            56                                        []  
void vllm::merge_attn_states_kernel<__nv_bfloat16, _...         0.00%       0.000us         0.00%       0.000us       0.000us      94.943us         0.18%      94.943us       1.695us           0 B           0 B           0 B           0 B            56                                        []  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      94.913us         0.18%      94.913us       1.130us           0 B           0 B           0 B           0 B            84                                        []  
                                              memcpy128         0.00%       0.000us         0.00%       0.000us       0.000us      77.762us         0.15%      77.762us       2.777us           0 B           0 B           0 B           0 B            28                                        []  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      71.935us         0.14%      71.935us       1.285us           0 B           0 B           0 B           0 B            56                                        []  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      68.227us         0.13%      68.227us       1.176us           0 B           0 B           0 B           0 B            58                                        []  
                               _select_kv_gather_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      47.904us         0.09%      47.904us      23.952us           0 B           0 B           0 B           0 B             2                                        []  
                                _merge_beam_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      46.816us         0.09%      46.816us       2.341us           0 B           0 B           0 B           0 B            20                                        []  
                              _select_kv_scatter_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      38.496us         0.07%      38.496us      19.248us           0 B           0 B           0 B           0 B             2                                        []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.678us         0.05%      27.678us       0.923us           0 B           0 B           0 B           0 B            30                                        []  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      24.001us         0.05%      24.001us       1.000us           0 B           0 B           0 B           0 B            24                                        []  
                                            aten::copy_         0.40%     320.535us         0.87%     692.528us      31.479us      23.103us         0.04%      23.103us       1.050us           0 B           0 B           0 B           0 B            22                            [[1], [1], []]  
                                            aten::fill_         0.23%     187.060us         0.43%     346.582us      21.661us      14.687us         0.03%      14.687us       0.918us           0 B           0 B           0 B           0 B            16                                  [[], []]  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      12.129us         0.02%      12.129us       4.043us           0 B           0 B           0 B           0 B             3                                        []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.966us         0.02%      11.966us       1.088us           0 B           0 B           0 B           0 B            11                                        []  
                                            aten::copy_         0.13%     106.473us         0.26%     205.367us      25.671us      10.114us         0.02%      10.114us       1.264us           0 B           0 B           0 B           0 B             8                        [[128], [128], []]  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      10.048us         0.02%      10.048us       3.349us           0 B           0 B           0 B           0 B             3                                        []  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.985us         0.02%       9.985us       1.426us           0 B           0 B           0 B           0 B             7                                        []  
                                _local_beam_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.952us         0.02%       9.952us       2.488us           0 B           0 B           0 B           0 B             4                                        []  
                                      aten::bitwise_and         0.21%     167.015us         0.32%     253.556us      31.695us       9.569us         0.02%       9.569us       1.196us           0 B           0 B       4.00 KB       4.00 KB             8                                [[1], [1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.569us         0.02%       9.569us       1.196us           0 B           0 B           0 B           0 B             8                                        []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.214us         0.02%       9.214us       1.536us           0 B           0 B           0 B           0 B             6                                        []  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       8.447us         0.02%       8.447us       0.845us           0 B           0 B           0 B           0 B            10                                        []  
                                       aten::bitwise_or         0.20%     156.257us         0.28%     225.605us      32.229us       8.160us         0.02%       8.160us       1.166us           0 B           0 B       3.50 KB       3.50 KB             7                                [[1], [1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.160us         0.02%       8.160us       1.166us           0 B           0 B           0 B           0 B             7                                        []  
                                            aten::copy_         0.15%     118.804us         0.30%     243.508us      30.438us       8.128us         0.02%       8.128us       1.016us           0 B           0 B           0 B           0 B             8                      [[1024], [1024], []]  
                             _prepare_candidates_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.776us         0.01%       7.776us       2.592us           0 B           0 B           0 B           0 B             3                                        []  
                                               aten::ne         0.24%     195.629us         0.34%     271.852us      38.836us       7.775us         0.01%       7.775us       1.111us           0 B           0 B       3.50 KB       3.50 KB             7                                 [[1], []]  
                                            aten::fill_         0.12%      98.190us         0.23%     186.198us      23.275us       7.584us         0.01%       7.584us       0.948us           0 B           0 B           0 B           0 B             8                            [[1, 128], []]  
                                            aten::fill_         0.14%     111.132us         0.27%     214.781us      26.848us       7.584us         0.01%       7.584us       0.948us           0 B           0 B           0 B           0 B             8                                 [[1], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.390us         0.01%       7.390us       0.924us           0 B           0 B           0 B           0 B             8                                        []  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       7.296us         0.01%       7.296us       2.432us           0 B           0 B           0 B           0 B             3                                        []  
                                      aten::bitwise_not         0.19%     149.137us         0.29%     229.510us      38.252us       6.914us         0.01%       6.914us       1.152us           0 B           0 B       3.00 KB       3.00 KB             6                                     [[1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.914us         0.01%       6.914us       1.152us           0 B           0 B           0 B           0 B             6                                        []  
                                  _validate_step_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.176us         0.01%       6.176us       2.059us           0 B           0 B           0 B           0 B             3                                        []  
                                            aten::where         0.19%     154.104us         0.85%     682.076us      85.259us       6.047us         0.01%      15.710us       1.964us           0 B           0 B       4.00 KB      -2.00 KB             8                        [[128], [128], []]  
                             _group_beam_outputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.728us         0.01%       5.728us       1.909us           0 B           0 B           0 B           0 B             3                                        []  
                                            aten::fill_         0.09%      70.140us         0.16%     125.872us      20.979us       5.630us         0.01%       5.630us       0.938us           0 B           0 B           0 B           0 B             6                          [[1, 32896], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.088us         0.01%       5.088us       1.018us           0 B           0 B           0 B           0 B             5                                        []  
                                              aten::mul         0.06%      51.545us         0.09%      73.719us      36.860us       4.672us         0.01%       4.672us       2.336us           0 B           0 B       3.00 KB       3.00 KB             2                              [[129], [1]]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.672us         0.01%       4.672us       2.336us           0 B           0 B           0 B           0 B             2                                        []  
                                            aten::where         0.18%     145.946us         1.00%     799.602us      99.950us       4.671us         0.01%      16.732us       2.092us           0 B           0 B       4.00 KB      -4.00 KB             8                             [[1], [], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.671us         0.01%       4.671us       1.168us           0 B           0 B           0 B           0 B             4                                        []  
                                            aten::copy_         0.05%      41.105us         0.09%      73.286us      36.643us       4.479us         0.01%       4.479us       2.239us           0 B           0 B           0 B           0 B             2                      [[1158], [1158], []]  
                                    _commit_step_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.416us         0.01%       4.416us       1.472us           0 B           0 B           0 B           0 B             3                                        []  
                                               aten::eq         0.15%     118.173us         0.20%     162.638us      40.660us       4.191us         0.01%       4.191us       1.048us           0 B           0 B       2.00 KB       2.00 KB             4                                 [[1], []]  
                               _append_completed_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.872us         0.01%       3.872us       1.291us           0 B           0 B           0 B           0 B             3                                        []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.744us         0.01%       3.744us       0.936us           0 B           0 B           0 B           0 B             4                                        []  
                                 _stage_sequence_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.712us         0.01%       3.712us       1.237us           0 B           0 B           0 B           0 B             3                                        []  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.679us         0.01%       3.679us       1.226us           0 B           0 B           0 B           0 B             3                                        []  
                                   _commit_beams_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.648us         0.01%       3.648us       1.216us           0 B           0 B           0 B           0 B             3                                        []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.616us         0.01%       3.616us       1.205us           0 B           0 B           0 B           0 B             3                                        []  
                                              aten::sub         0.11%      91.158us         0.16%     131.461us      43.820us       3.520us         0.01%       3.520us       1.173us           0 B           0 B       1.50 KB       1.50 KB             3                            [[1], [1], []]  
                                            aten::index         0.06%      50.051us         0.19%     153.672us     153.672us       3.456us         0.01%       5.152us       5.152us           0 B           0 B       4.00 KB       3.50 KB             1                        [[1024, 2048], []]  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.456us         0.01%       3.456us       3.456us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::index         0.08%      61.315us         0.12%      93.686us      93.686us       3.392us         0.01%       3.392us       3.392us           0 B           0 B       4.00 KB       4.00 KB             1                               [[128], []]  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.392us         0.01%       3.392us       3.392us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::copy_         0.07%      58.848us         0.13%      99.985us      33.328us       3.330us         0.01%       3.330us       1.110us           0 B           0 B           0 B           0 B             3                        [[129], [129], []]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.168us         0.01%       3.168us       1.584us           0 B           0 B           0 B           0 B             2                                        []  
                                    cudaStreamWaitEvent         0.07%      53.070us         0.07%      53.070us       4.422us       3.104us         0.01%       3.104us       0.259us           0 B           0 B           0 B           0 B            12                                        []  
                                      aten::bitwise_and         0.06%      44.922us         0.08%      66.967us      33.484us       2.912us         0.01%       2.912us       1.456us           0 B           0 B       1.00 KB       1.00 KB             2                              [[1], [128]]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.912us         0.01%       2.912us       1.456us           0 B           0 B           0 B           0 B             2                                        []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.816us         0.01%       2.816us       1.408us           0 B           0 B           0 B           0 B             2                                        []  
                                            aten::fill_         0.05%      37.971us         0.08%      65.304us      21.768us       2.784us         0.01%       2.784us       0.928us           0 B           0 B           0 B           0 B             3                            [[128, 3], []]  
                                            aten::copy_         0.05%      38.222us         0.09%      69.522us      34.761us       2.623us         0.00%       2.623us       1.311us           0 B           0 B           0 B           0 B             2                      [[1, 3], [1, 3], []]  
                                            aten::where         0.11%      88.127us         0.50%     402.015us     100.504us       2.432us         0.00%       6.720us       1.680us           0 B           0 B       2.00 KB      -1.00 KB             4                            [[1], [], [1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.432us         0.00%       2.432us       1.216us           0 B           0 B           0 B           0 B             2                                        []  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.368us         0.00%       2.368us       2.368us           0 B           0 B           0 B           0 B             1                                        []  
                                   cudaEventSynchronize        27.61%      22.085ms        27.61%      22.085ms       2.454ms       2.336us         0.00%       2.336us       0.260us           0 B           0 B           0 B           0 B             9                                        []  
                                            aten::fill_         0.04%      31.019us         0.08%      63.774us      31.887us       1.888us         0.00%       1.888us       0.944us           0 B           0 B           0 B           0 B             2                         [[1, 128, 3], []]  
                                            aten::fill_         0.03%      23.243us         0.05%      41.049us      20.524us       1.887us         0.00%       1.887us       0.944us           0 B           0 B           0 B           0 B             2                         [[1, 3, 128], []]  
                                            aten::fill_         0.04%      31.107us         0.08%      61.162us      30.581us       1.856us         0.00%       1.856us       0.928us           0 B           0 B           0 B           0 B             2                               [[128], []]  
                               _rank_final_beams_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.824us         0.00%       1.824us       1.824us           0 B           0 B           0 B           0 B             1                                        []  
                               _pack_final_beams_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.760us         0.00%       1.760us       1.760us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::where         0.05%      39.356us         0.22%     178.427us      89.214us       1.759us         0.00%       4.415us       2.207us           0 B           0 B       2.00 KB        -512 B             2                  [[128, 1], [128, 2], []]  
                                            aten::copy_         0.02%      17.707us         0.03%      27.623us      27.623us       1.536us         0.00%       1.536us       1.536us           0 B           0 B           0 B           0 B             1                  [[128, 2], [128, 2], []]  
                                            aten::copy_         0.04%      35.443us         0.08%      67.976us      33.988us       1.472us         0.00%       1.472us       0.736us           0 B           0 B           0 B           0 B             2                  [[1, 512], [1, 512], []]  
                                            aten::where         0.05%      39.100us         0.21%     167.729us      83.865us       1.408us         0.00%       3.744us       1.872us           0 B           0 B       1.00 KB        -512 B             2                  [[128, 1], [128, 1], []]  
                                              aten::add         0.04%      29.325us         0.05%      42.075us      42.075us       1.280us         0.00%       1.280us       1.280us           0 B           0 B       8.00 KB       8.00 KB             1                      [[1024], [1024], []]  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.280us         0.00%       1.280us       1.280us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::copy_         0.02%      18.208us         0.04%      28.915us      28.915us       1.280us         0.00%       1.280us       1.280us           0 B           0 B           0 B           0 B             1                  [[128, 1], [128, 1], []]  
                                              aten::add         0.03%      24.126us         0.04%      35.277us      35.277us       1.216us         0.00%       1.216us       1.216us           0 B           0 B         512 B         512 B             1                            [[1], [1], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.120us         0.00%       1.120us       1.120us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::copy_         0.03%      20.902us         0.05%      36.955us      36.955us       1.056us         0.00%       1.056us       1.056us           0 B           0 B           0 B           0 B             1                      [[1284], [1284], []]  
                                              aten::sub         0.04%      31.864us         0.06%      46.090us      46.090us       0.992us         0.00%       0.992us       0.992us           0 B           0 B         512 B         512 B             1                             [[1], [], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       0.992us         0.00%       0.992us       0.992us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::copy_         0.01%      11.824us         0.03%      27.914us      27.914us       0.992us         0.00%       0.992us       0.992us           0 B           0 B           0 B           0 B             1                            [[3], [3], []]  
                                            aten::copy_         0.01%      10.520us         0.03%      23.454us      23.454us       0.960us         0.00%       0.960us       0.960us           0 B           0 B           0 B           0 B             1                            [[2], [2], []]  
                                        cudaEventRecord         0.07%      57.058us         0.07%      57.058us       3.170us       0.928us         0.00%       0.928us       0.052us           0 B           0 B           0 B           0 B            18                                        []  
                                            aten::fill_         0.03%      20.114us         0.04%      32.033us      16.016us       0.896us         0.00%       0.896us       0.448us           0 B           0 B           0 B           0 B             2                               [[127], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       0.896us         0.00%       0.896us       0.896us           0 B           0 B           0 B           0 B             1                                        []  
                onerec_prefill_v1_miss_profiled_request        49.97%      39.967ms        99.75%      79.788ms      79.788ms       0.000us         0.00%       4.191ms       4.191ms           0 B          -1 B           0 B     -86.51 MB             1                                        []  
                                Activity Buffer Request         3.22%       2.575ms         3.22%       2.575ms       2.575ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1                                        []  
                                            aten::slice         0.41%     328.941us         0.49%     392.908us       7.858us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50                     [[1], [], [], [], []]  
                                       aten::as_strided         0.08%      67.850us         0.08%      67.850us       1.305us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            52                         [[1], [], [], []]  
                                       cudaLaunchKernel         1.72%       1.375ms         1.72%       1.375ms      11.273us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           122                                        []  
                                            aten::slice         0.10%      76.577us         0.12%      95.547us       7.350us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13                [[1, 128], [], [], [], []]  
                                       aten::as_strided         0.05%      36.830us         0.05%      36.830us       1.417us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            26                    [[1, 128], [], [], []]  
                                            aten::zero_         0.08%      61.564us         0.28%     220.240us      31.463us       0.000us         0.00%       6.624us       0.946us           0 B           0 B           0 B           0 B             7                                [[1, 128]]  
                                            aten::slice         0.03%      26.763us         0.04%      32.153us      10.718us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3             [[1, 128, 3], [], [], [], []]  
                                       aten::as_strided         0.01%       8.087us         0.01%       8.087us       1.348us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6                 [[1, 128, 3], [], [], []]  
                                            aten::zero_         0.02%      18.139us         0.10%      81.913us      40.957us       0.000us         0.00%       1.888us       0.944us           0 B           0 B           0 B           0 B             2                             [[1, 128, 3]]  
                                            aten::zero_         0.08%      60.837us         0.26%     208.888us      29.841us       0.000us         0.00%       6.432us       0.919us           0 B           0 B           0 B           0 B             7                                     [[1]]  
                                            aten::slice         0.03%      24.295us         0.04%      29.121us       7.280us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4             [[1, 3, 128], [], [], [], []]  
                                       aten::as_strided         0.01%       8.273us         0.01%       8.273us       1.379us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6                 [[1, 3, 128], [], [], []]  
                                            aten::zero_         0.02%      17.197us         0.07%      58.246us      29.123us       0.000us         0.00%       1.887us       0.944us           0 B           0 B           0 B           0 B             2                             [[1, 3, 128]]  
                                            aten::slice         0.10%      78.420us         0.12%      94.680us       7.283us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13              [[1, 32896], [], [], [], []]  
